Headline,Body ID,Stance
"Report: Apple Watch to start at $500 in stainless steel, thousands for gold model",2283,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",704,unrelated
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',2072,discuss
Someone painted a graffiti dick on a $2.5 million car,498,agree
New Audio Allegedly Captures Moment Michael Brown Was Shot,2370,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",139,unrelated
Soldier shot in Ottawa at War Memorial,1659,discuss
Small Meteorite Strikes in Nicaragua's Capital City of Managua,2154,discuss
Seth Rogen to Play Apple Co-Founder Wozniak in Steve Jobs Biopic,1707,unrelated
Vogue’s Rat Infestation: Disturbing New Details,618,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",459,unrelated
Isis claims US hostage Kayla Mueller killed in coalition airstrike,645,unrelated
Nicaragua says meteorite probable cause of blast in capital,1627,unrelated
Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2406,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,1966,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,2531,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,11,unrelated
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",2210,unrelated
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",258,unrelated
Boy who suffered powerful electric shock claims he now has 'superpowers' like X-Men's Magneto as metal objects stick to him,1006,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1247,agree
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,526,unrelated
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",1202,discuss
"These LEGO Instructions from 1974 Are Awesome (And Yes, They're Real)",2171,agree
NASA Raises Doubts About Reports of Nicaraguan Meteorite,1249,discuss
ISIS Executioner 'Jihadi John' Is Named as Mohammed Emwazi,1219,agree
Media outlets identify 'Jihadi John',1308,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2039,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,346,discuss
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",682,unrelated
"Bosnia: Seven underage girls return from five day school trip, pregnant",2508,agree
Islamic State Flying Three Jets in Syria,524,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1034,unrelated
Nigeria says ceasefire agreed with Boko Haram,1603,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,2078,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,2118,unrelated
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1623,agree
Is There an ISIS Threat on the Texas-Mexico Border or Not?,80,unrelated
Video messaging service verifies timing of CNN audio recording,1905,unrelated
ISIS Claims To Have Captured US Airdrop Weapons,2483,unrelated
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,855,agree
Christian Bale in Talks to Star in Sony's Steve Jobs Film,1234,unrelated
Small Meteorite Hits Managua,757,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1588,agree
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1034,unrelated
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,933,discuss
Apple Watch mass production kicks off in January: Report,2116,unrelated
Media reports identify Londoner as Islamic State's ‘Jihadi John’,1424,discuss
James Foley remembered as 'brave and tireless' journalist,2261,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1905,unrelated
"Suspected meteorite leaves crater in Managua, is linked to asteroid",1917,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,1234,unrelated
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,1090,unrelated
ESPN’s Domestic Abuse Tonight Panel Will Be 100% Dudes,2137,disagree
ISIL video claims beheading of kidnapped journalist James Foley,2127,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,1681,discuss
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,2448,discuss
VIDEO: Son Stuns Parents By Paying Off Their Mortgage As Christmas Surprise,648,unrelated
Iraqi social-media rumors claim IS leader slain,964,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1340,agree
British Aid Worker Confirmed Murdered By ISIS,1011,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,1022,unrelated
The Image That Everyone Is Sharing By 'Banksy' Isn't By Banksy — But It's Awesome,1545,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,837,discuss
Senator: Detainees swapped for Bergdahl have contacted militants,2096,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,2481,discuss
US Marine survives headshot from Taliban (video),709,unrelated
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",139,unrelated
Kurds Deny Gill Rosenberg was in Kobane,1224,unrelated
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,2051,agree
"#Hairgate: Reports of iPhone 6 pulling out hair, beards, likely exaggerated",1839,unrelated
"Don't forget to tip...especially if you spend $300,000",1176,unrelated
Shocking moment shows 'adulteress' stripped naked and beaten in busy shopping centre,1334,agree
"Catholic priest dies for 48 mins, wakes up claiming God is a woman",2445,disagree
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2524,unrelated
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,1893,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,1603,unrelated
Texas City plumber's truck ends up in Syrian war,1832,unrelated
'Banksy' Reacts To Paris Attack With Poignant Drawing,1688,discuss
Does Vogue's New Office Have a Rat Infestation?,754,unrelated
Isis claims it has US airdrop of weapons,2016,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,958,unrelated
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2192,discuss
‘Photo of slain IS leader’ reported to be doctored,1323,unrelated
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,2141,unrelated
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,1263,unrelated
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1597,agree
Michael Abdul Zehaf Bibeau Pictures: Photos of Alleged ISIS-Linked Gunman in Canada,2256,unrelated
"Despite ceasefire announcement, new Boko Haram attacks reported",40,unrelated
Nigeria says it has deal with Boko Haram to release kidnapped girls,1661,unrelated
'Spiderman' squished: Experts debunk claims,1549,unrelated
Isis claims US hostage Kayla Mueller killed in coalition airstrike,2362,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,570,unrelated
Nun Gives Birth To Baby Boy After Suffering Intense Stomach Pains,2058,unrelated
Militant Group Says It Killed American Journalist in Syria,1358,unrelated
Jihadi John ‘identified as British man from West London’,1308,unrelated
SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,2443,discuss
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,2317,unrelated
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",609,unrelated
Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,687,unrelated
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,860,unrelated
Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt,1981,agree
The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal,669,discuss
Fake-News: 'McDonald's Will Stop Serving Overweight Customers',2184,disagree
"Woman At Dulles Plays It Safe, Wears A Rain Poncho And Mask",1178,unrelated
Mexico prosecutor: Students not in 1st mass graves,1678,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1251,unrelated
Bergdahl: Senator Says Jihadists Swapped For U.S. Troop ‘In Touch’ With Al-Qaida Affiliate,1813,unrelated
"No, Banksy hasn’t been arrested",1437,unrelated
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,1457,unrelated
Vogue’s Rat Infestation: Disturbing New Details,725,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,508,unrelated
Seth Rogen Is Woz,616,unrelated
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2056,unrelated
US Lawmaker: Ten ISIS Fighters Have Been Apprehended Coming Across Southern Border (Video),1764,discuss
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',2263,discuss
"Apple Watch Pricing to Reportedly Start at $500 for Stainless Steel, $4,000 for Gold",698,unrelated
'Electric Boogie' Developer Leaves Secret Resignation Letter To Boss At The End Of The Game (Video),2307,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2070,unrelated
Govt fires employee who skipped work for 24 years,2441,agree
Chinese parents try to SELL their son to pay for medical treatment for his sick twin sister,1562,agree
North Korean dictator Kim Jong-Un to open restaurant in Scotland,1893,unrelated
Former PGA Tour player: Tiger Woods suspended for drug test failure,225,unrelated
WTC rats scare off Anna Wintour,2498,agree
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",892,unrelated
"Jose Canseco injured in accidental shooting, per reports",695,unrelated
Fake BBC News website set up to carry Charlie Hebdo attack conspiracy theories,1069,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,220,unrelated
Microsoft turns to robotic security guards to watch for trouble,1721,unrelated
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,1952,discuss
Iraqi media says ISIS militants have contracted Ebola,2180,discuss
"Despite ceasefire announcement, new Boko Haram attacks reported",1372,unrelated
"#Daysofdarkness: No, There Won't Be Six Days Of Darkness In December",664,unrelated
Reports of missing Libyan planes raise 9/11 terror fears,1489,unrelated
Pentagon: ISIS seized materials airdropped to Kurds,570,unrelated
"Gold Apple Watch Edition Could Cost As Much As $1,200",1820,unrelated
"ISIS: We have our hands on weapons, ammo air-dropped by U.S.",2213,unrelated
Rumors about Fidel Castro’s death again circulate on the Internet,1918,discuss
Amazon Reportedly Planning An Ad-Supported Video Service That Will Be Cheaper Than Netflix,1255,unrelated
"Unconfirmed: ISIS Claims Kayla Mueller, American Female Hostage, Is Dead",663,unrelated
This Woman Exposed Her Cheating Boyfriend With A Brilliant Christmas Gift,1854,unrelated
SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,2413,unrelated
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',530,unrelated
Reports of missing Libyan planes raise 9/11 terror fears,126,unrelated
Missing jetliners raise fear of new 9/11-style attacks after Libyan airport falls to Islamic militants,2448,discuss
Satirical news site attacks China’s weird English names,2443,unrelated
Mexico Says Missing Students Not Found In First Mass Graves,1427,agree
CPWD official sacked for absence from duty for 25 years,1162,agree
"Rare meteorite impact causes blast in Nicaragua's capital, Managua",1622,discuss
Amazon is opening its first physical store,428,unrelated
Report: Christian Bale Drops Out Of Steve Jobs Biopic,830,unrelated
Pentagon: 1 weapons bundle seized by militants,693,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,1227,disagree
Holy Theft! Batmobile Stolen from 'Batman v Superman'???,1090,unrelated
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",2463,unrelated
SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,286,unrelated
ISIS Getting Ebola,2342,unrelated
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,81,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2309,discuss
Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',532,unrelated
BREAKING: British-born hostage 'KILLED in failed rescue attempt',1988,discuss
Catholic Priest Claims God Is Female After Clinically Dead Experience,1538,unrelated
Apple Watch delayed for February in limited quantity,2431,unrelated
"North Korea ordered citizens named Kim Jong Un to change their names, says new report",1975,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1120,unrelated
Is the iPhone 6 Really Pulling Out Your Hair?,2303,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,346,unrelated
HBO Reportedly in Talks with Apple for Launch of New Unbundled Streaming Service,1074,discuss
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,1897,unrelated
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,87,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",2524,agree
Apple Watch launch reportedly planned for February with limited supply,1790,unrelated
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",648,unrelated
Islamic State claims it executed American photojournalist James Foley,1982,unrelated
'Sex attacker' has penis cut off with a cleaver in India,1375,unrelated
Cold Turkey,693,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1223,unrelated
Macaulay Culkin Dead?,1174,discuss
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,2477,unrelated
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,225,unrelated
Jilted lover chops off his penis after girlfriend dumps him,2330,unrelated
Video shows ISIL beheading of photojournalist James Foley,903,discuss
Nigeria says it has deal with Boko Haram to release kidnapped girls,844,unrelated
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,2114,unrelated
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",1551,agree
Vigilantes cut off alleged rapist's penis,125,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,2234,unrelated
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,633,unrelated
Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,269,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,499,discuss
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1498,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,1461,unrelated
God is a woman- Priest who died for 48 minutes claims,478,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,199,unrelated
Kim Jong-un: Absent North Korean leader is 'recovering from ankle surgery',1972,discuss
India: 400 men cut off their testicles to 'get closer to God' following advice from 'guru',2176,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,1430,discuss
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",1498,unrelated
Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt,654,discuss
Tiger Woods Is Selling His Private Island For $7.1 Million,1836,unrelated
Tropical spider burrows under man's skin through scar,1864,discuss
"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",247,unrelated
Was The Video Of That Homeless Man Doing Good Deeds With $100 All An Elaborate Hoax!?,855,unrelated
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",2445,unrelated
Singing polar bear facing ASBO after noise complaint,2446,discuss
US Intel: Taliban Man Released From Gitmo in Bergdahl Deal is Back to Militant Activity,1949,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,347,unrelated
Christian Bale to Play Steve Jobs in New Movie,35,unrelated
"Are missing students in mass graves found near Iguala, Mexico?",1825,unrelated
Lebanon 'holding IS leader's daughter and ex-wife',1787,unrelated
Michelle Obama's Hair Appeared Totally Uncensored on Saudi TV,1742,agree
Isis supporters claim US hostage killed in coalition air strike in Syria,2387,discuss
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',322,unrelated
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',1893,unrelated
Alleged Audio of Michael Brown Shooting Doesn’t Sound Good for Officer Darren Wilson,1438,unrelated
"Meteorite makes big crater in Nicaragua, government says",649,unrelated
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",171,unrelated
BREAKING: ISIS USES CHEMICAL WEAPONS – Murders 300 Iraqi Soldiers in Chlorine Gas Attack,693,unrelated
7 teen girls get pregnant on school trip Read more at http://www.wnd.com/2014/12/7-teen-girls-get-pregnant-on-school-trip/#F5filOd6yFpASPV9.99,2124,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",1506,unrelated
Video shows ISIL beheading of photojournalist James Foley,2386,agree
Paul Revere's 1795 time capsule unearthed,45,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,2520,unrelated
Gateway Pundit,633,unrelated
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",34,unrelated
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1020,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1009,unrelated
"Islamic State Training Pilots in Military Jets, Monitors Say",1337,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,754,unrelated
Mexico checks if 43 missing students in mass grave,1351,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,2453,unrelated
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,1539,unrelated
Kim Jong-Un's Sister Takes Control in North Korea,2477,discuss
Christian Bale set to play Steve Jobs in forthcoming biopic of Apple co-founder,1658,unrelated
Wife and child of Islamic State leader Baghdadi held in Lebanon,931,discuss
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1289,unrelated
Speeding Up ‘Seinfeld’ For Younger Viewers,1921,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,1446,discuss
ISIL militant 'Jihadi John' named by media,1939,discuss
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,568,unrelated
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",754,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",609,unrelated
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,961,unrelated
Devoted pet owner spends £300 to save his GOLDFISH after it became constipated,1588,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1949,unrelated
"No, a spider (probably) didn't crawl through a man's body for several days",859,unrelated
WHO: Reports of Suspected Ebola Cases in Iraq Untrue,1821,unrelated
Nun 'has surprise baby' after complaining of stomach pains,1412,agree
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",1899,unrelated
CNN Plays Alleged Recording of Michael Brown Shooting,1299,unrelated
This Is What The Sun Baby From ‘Teletubbies’ Looks Like Now,1834,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1769,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",609,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,1646,unrelated
"Boko Haram agrees to ceasefire, release of school girls",1697,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,1615,discuss
Journalist James Wright Foley reportedly beheaded by ISIS,2192,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1358,unrelated
Saudi cleric issues fatwa against building snowmen,2287,unrelated
The rats eat Prada at Vogue NY office,1737,unrelated
"Suspected meteorite leaves crater in Managua, is linked to asteroid",269,unrelated
"Apple's New MacBook Will Be A Thinner, Cleaner, Faster 12-Inch MacBook Air",2211,unrelated
Boko Haram denies it has agreed ceasefire,1630,discuss
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",93,unrelated
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",321,unrelated
Nun gives birth to surprise baby after complaining of stomach pains,706,discuss
Someone painted a graffiti dick on a $2.5 million car,2235,unrelated
Willie Nelson Dead? Viral Hoax Fools Internet,933,unrelated
Mystery man slaps shoppers around head for sneezing,1603,unrelated
UPDATE: BATMAN v SUPERMAN Batmobile Reportedly Stolen By (Shocker!) Detroit Locals,1538,discuss
PGA Tour Denies Claim That Tiger Woods Failed A Drug Test,438,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,226,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,1934,unrelated
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,2307,unrelated
"Managua explosion not a meteorite, NASA suggests",2129,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,511,unrelated
ISIS Hostage Alan Henning's Wife Invokes Sharia Law in New Plea,1263,unrelated
[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,1742,discuss
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,524,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,2356,discuss
ISIS Claims To Have Captured US Airdrop Weapons,1938,unrelated
Predator Drone Reportedly Spotted Over ISIS Stronghold,1400,unrelated
Islamic State claims to have beheaded American journalist,1120,unrelated
"UPDATED 'Jihadi John' identified as Mohammed Emwazi of London, reports say",2202,discuss
"Tropical spider burrows under man's skin, lives there for three days",1375,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,2045,unrelated
Durex is not confirming or denying rumors of a “pumpkin spice” condom,1212,unrelated
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,1083,unrelated
Woman spends a week in KFC to get over her break up,1776,unrelated
British aid worker David Haines beheaded by ISIL,1645,unrelated
Kim Jong-Un 'bans the name Kim Jong-un',1905,unrelated
Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,1468,disagree
"Spider burrowed into appendix scar, crawled through WA man's body",220,unrelated
Audio recording allegedly captures moment Michael Brown was shot,524,unrelated
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,527,unrelated
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",2283,discuss
Resetting iOS 8 Preferences May Wipe iCloud Files,695,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2156,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1697,unrelated
"In New York City, Marijuana May Mean Ticket, Not Arrest",1383,unrelated
Fence-jumper got farther into White House,1137,unrelated
"Tiger Woods PED, PGA Tour Suspension Allegations Retracted by Dan Olsen",1584,unrelated
Comcast blocks Tor,1104,unrelated
Parents are furious after seven girls aged 13-14 fall pregnant on a school trip,311,unrelated
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,2034,discuss
Report: Possible audio tape of Michael Brown shooting,844,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1803,unrelated
Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,1852,unrelated
Soldier shot in Ottawa at War Memorial,2281,agree
"Report: new 12-inch MacBook Air slims down, has single USB port",1049,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,634,unrelated
ISIS Militant “Jihadi John” Identified As Young West Londoner,1543,unrelated
British Man Slaps People If They Sneeze In Public,1839,agree
REPORT: The Batmobile Might Have Been Stolen In Detroit,702,unrelated
Meteorite 'caused mysterious boom in Nicaragua',2118,unrelated
Abdel-Majed Abdel Bary in Foley beheading: London rapper songs help identify him,1036,discuss
eBay is planning an Apple Watch app,952,discuss
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2525,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,1549,unrelated
Iraq Says Arrested Woman Is Not The Wife of ISIS Leader al-Baghdadi,2042,unrelated
Boko Haram denies truce to release kidnapped schoolgirls,1541,unrelated
"High-end Apple Watch to start at $5,000 -- analyst",1280,discuss
The iPhone 6 'Hairgate' Is Not a Thing,1646,discuss
"Tropical spider burrows under man's skin, lives there for three days",1170,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,388,unrelated
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",1921,unrelated
Duped again: Macaulay Culkin is not dead,1555,agree
KC hospital: Patient does not have symptom profile of Ebola,2104,agree
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,1169,unrelated
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2251,discuss
"Ann Arbor pizza delivery driver surprised with $2,000 tip",1385,unrelated
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",513,unrelated
Bug in iOS 8's 'Reset All Settings' Option Also Erases iCloud Drive Documents,2423,discuss
Star Wars: The Force Awakens to be released this summer?,1678,unrelated
Sugarhill Gang's Big Bank Hank Dead At 57,1556,discuss
Is Kim Jong-un Opening North Korean Restaurant in Scotland?,2185,unrelated
Staff Reporter,1384,unrelated
Tiger Woods serving secret PED suspension?,1589,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,1003,unrelated
"David Haines Beheaded By ISIS, Execution Video Contains Threats Against UK: Reports",1795,unrelated
Report: Amazon to Launch Ad-Supported Streaming Service,2129,unrelated
'Hairgate': iPhone hit by new social media storm,1545,unrelated
"Ann Arbor pizza delivery driver surprised with $2,000 tip",2526,unrelated
"Apple Watch Stainless Steel variant reportedly priced at $500, $4,000 for the gold variant",10,unrelated
Soldier shot at war memorial in Canada,964,unrelated
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",1198,unrelated
Airport worker strips naked at security scanner in protest against guards,2313,unrelated
Rumors Of Fidel Castro's Death Circulate After Prolonged Absence From Public Life,1010,unrelated
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1556,discuss
HBO in talks with Apple to be launch partner for coming web service 'HBO Now',227,unrelated
BREAKING Gill Rosenberg former IDF soldier was captured by ISIS,80,unrelated
Former PGA Tour player: Tiger Woods suspended for drug test failure,1502,unrelated
iOS 8 bug could delete your iCloud Drive documents,1278,unrelated
"Priest Dies, Wakes Up, Claims God Is a Woman. Huh?",195,unrelated
Media outlets identify 'Jihadi John',2531,unrelated
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1949,discuss
IS Militants Kill 300 Iraqi Soldiers with Chlorine Gas,1605,unrelated
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,634,unrelated
The iPhone 6 'Hairgate' Is Not a Thing,1519,discuss
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,2266,discuss
Two blokes dared to eat 20-year-old burger for charity,1013,unrelated
NYC relaxes response to marijuana possession,666,unrelated
Former PGA Tour player: Tiger Woods suspended for drug test failure,2463,unrelated
BREAKING: ISIS USES CHEMICAL WEAPONS – Murders 300 Iraqi Soldiers in Chlorine Gas Attack,1590,agree
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,639,unrelated
"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",1344,discuss
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,634,unrelated
‘Islamic tribunal confirmed in Texas’,200,discuss
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,633,unrelated
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,999,discuss
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,1122,discuss
Sugarhill Gang’s Big Bank Hank dead at 57,2420,unrelated
